Full,First,Last,Company,Label,Bio
Ben Wanamaker,Ben,Wanamaker,General Atlantic,Member,"Ben is an Operating Partner on the healthcare team at General Atlantic and serves on the boards of CoPilot IQ, Equality Health, and Eventus Whole Health. 

Prior to joining General Atlantic, Ben was Vice President of Enterprise Strategy at Humana where he was responsible for long-term growth and resource allocation. While there he was instrumental in the creation of a new behavioral health company, Author Health, and launched the company's integrated, value-based care delivery strategy. He also led a $1B+ growth and productivity initiative that led to reduced operating expenses across the enterprise and industry leading market share growth. 

Previously Ben was at CVS Health / Aetna where he was Vice President and General Manager over the analytics product and consumer facing technology businesses. While there he created a new joint venture with Apple and managed a team of several hundred engineers and data scientists. 

Prior to Aetna, Ben co-founded and successfully launched Walmart's first health service delivery business, the Walmart Care Clinic, as well as joint ventures with McKesson and Quest Diagnostics. Before joining Walmart, Ben led the healthcare practice at the Clayton Christensen Institute for Disruptive Innovation.

Ben earned a bachelor's degree in Management from Brigham Young University and an MBA from Harvard Business School."
Mandira Singh,Mandira,Singh,Habitat Health,Member,"Mandira Singh brings more than a decade of experience to building and scaling leading companies in healthcare technology.  Mandira currently serves as a fractional product and operational executive at multiple venture and PE backed health tech companies. Most recently, Mandira served as SVP and General Manager for the Acute & Payer business at PointClickCare, where she was on the Executive Leadership Team and focused on driving growth and delivering results for over a thousand hospitals and every national health plan in the U.S. Mandira joined PointClickCare via the acquisition of Collective Medical in December 2020, where she served as Chief Operating Officer. Prior to joining Collective, Mandira was Executive Director of Product, Platform at athenahealth, where she built athenahealth's API-driven platform and created the industry's leading developer experience. Previously, Mandira ran athenahealth's More Disruption Please business unit including the athena Marketplace, which she grew from an initial business plan to a profitable business unit delivering more than 200 innovative apps to athena clients. Prior to joining athenahealth, Mandira was an investment professional at Essex Woodlands, a growth equity and venture capital firm focused on healthcare. Mandira started her career at J.P. Morgan, where she worked in the North America Healthcare Coverage Group and then the Private Equity Co-Investing group in New York. Mandira holds a BA in Economics from Vassar College and an MBA from the Stanford Graduate School of Business."
Puneet Singh,Puneet,Singh,CareBridge,Member,Puneet Singh serves as CEO of CareBridge.  Previously he was CEO of Quartet; Chief Growth Officer of the Diversified Business Group at Elevance; and Chief Development Officer at Aspire Health.
Matt Klitus,Matt,Klitus,Lyra Health,Member,"Matt Klitus is CFO of Lyra Health, where he leads the company's finance, accounting, analytics, and corporate development teams. Previously, Matt was Lyra's Chief Growth Officer, overseeing the company's clinical network, client service operations, and corporate development functions.

Most recently, Matt served as President of Markets at Cityblock Health, where he led the company's $300 million care delivery operation serving 17,000 high-risk Medicare and Medicaid members across three states.   

Before Cityblock, Matt served as CFO and Chief Strategy Officer at Masshealth, the Massachusetts Medicaid agency. At Masshealth, Matt oversaw the state's $16B Medicaid budget, helped transition one million beneficiaries into value-based care arrangements, and delivered more than $5 billion in savings for taxpayers. 

Earlier in his career, Matt worked as a healthcare investor at General Catalyst and Bain Capital, and as a consultant at McKinsey & Company.  Matt holds an MBA from Harvard Business School and an AB in Chemistry from Princeton University."
Angela Profeta,Angela,Profeta,New York State,Member,"Angela Profeta is the Deputy Secretary for Health for New York State. Prior to joining the administration, Angela was Chief Strategy Officer for CityMD and Summit Medical Group (Summit Health), where she helped grow CityMD to over 140 urgent care centers and merge the two companies to form one of the largest independent physician organizations in the country. Prior to Summit Health, Angela worked as a consultant for Gold Health Strategies supporting health systems and physician groups in strategy, managed care contracting and value-based transformation. She was a founding member of Manna Project International in Nicaragua and a fellow at the U.S. Department of Health and Human Services. Angela holds a Ph.D. in Public Administration with a focus on health policy and economics from New York University, a Master of Public Health from Columbia University, and a B.A. from Vanderbilt University."
Andrew Kaplan,Andrew,Kaplan,Bain Capital,Engaged Health Team,"Andrew Kaplan joined Bain Capital in 2009. He is a Partner in the Healthcare vertical and a member of the North America Private Equity team. He also serves as a member of the firm's Global Private Equity training program and the recruiting team.

Prior to joining Bain Capital, Andrew was an investment banker with Goldman Sachs. He also co-founded EngagedHealth, LLC, a post-hospitalization service for chronically ill, low income patients aiming to improve outcomes, reduce readmissions, and save costs. This experience has been fundamental to informing his perspective on the value delivered to patients and the broader healthcare system through higher quality, lower cost care models.


Education

Andrew received an MBA from Harvard Business School where he was a Baker Scholar. He graduated magna cum laude with a BS in economics from The Wharton School at the University of Pennsylvania, where he served as Class President for four years."
David Werry,David,Werry,Well Health,Engaged Health Team,"David is currently President & COO and Co-Founder of Well. He was previously the VP of Transformation at Aetna where he oversaw the member-facing capabilities for the enterprise. These areas included Aetna's digital assets, concierge services, Apple partnership, high-touch clinical services as well as business units in healthcare payments, benefits enrollment and population health management. Prior to joining Aetna, David was the Head of Biotech at PPD, a global clinical research organization. David began his career at Morgan Stanley and then Hellman & Friedman, a large private equity firm, where he focused on healthcare investing. David was a Morehead Scholar at the University of North Carolina and holds an MBA from Harvard Business School."
Justin Oppenheimer,Justin,Oppenheimer,Hospital for Special Surgery,Engaged Health Team,"Justin is an Executive Vice President at HSS, an organization whose mission is to advance the field of musculoskeletal medicine through world-class patient care, research, and education. HSS is nationally ranked #1 in orthopedics and #2 in rheumatology by U.S. News & World Report and has been top ranked in its specialties for 14 consecutive years. Newsweek ranks HSS #1 in the world for orthopedics.
 
Justin joined HSS in 2013 and has since held various leadership positions including Enterprise Chief Operating Officer and Chief Strategy Officer. Today, he helps drive the organization's sustained reputation and profitable growth by leading the development and execution of the organization's strategy and overseeing many aspects of its strategic operations.
 
Prior to joining HSS, Justin was a management consultant at the Monitor Group (now Monitor Deloitte) where he served as an Engagement Manager for the Strategy practice, consulting to Fortune 500 companies across the healthcare industry. He serves on the Board of Directors on several for-profit subsidiaries and related businesses including RightMove, a virtual musculoskeletal care management company, and OrthoVentions, an orthopedic medical device incubator. He also serves on the Board of Directors for Urban Dove, a New York-based charter school management organization. Justin received a BA in Political Economy and a Certificate in Finance from Princeton University, and an MBA from Harvard Business School."
Daniel Stein,Daniel,Stein,Embold Health,Engaged Health Team,"Daniel Stein is CEO of Embold Health, a leading-edge data analytics company he founded to improve health care by identifying and promoting high quality, high value medical providers. Stein previously co-founded and served as chief medical officer for Walmart's primary care clinic business, Walmart Care Clinics. He also formerly worked on the health staff of the U.S. Senate Finance Committee on policy related to Medicare and Medicaid. In this capacity, Stein worked extensively on the Medicare Modernization Act of 2003, Medicare prescription drug legislation and medical malpractice reform. In 2009, he returned to the U.S. Senate Finance Committee to help formulate health care workforce and delivery system reform proposals. Prior to that, Stein worked at the Centers for Medicare and Medicaid Services (CMS), focusing on Medicare quality and pay-for-performance initiatives. Stein received his undergraduate degree in Ethics, Politics and Economics from Yale College; his medical degree from the Johns Hopkins School of Medicine; and his master's degree in business administration from the Harvard Business School. He completed his residency in primary care internal medicine at Brigham and Women's Hospital, where he was honored with the John H. McArthur Fellowship in Medicine and Management."
Jessie Beegle,Jessie,Beegle,Fmr Lifepoint,Member,"Jessie is an enterprise technology executive, board member, and advisor passionate about transforming our healthcare system. With expertise in business model innovation and the adoption of cutting-edge technologies such as cloud computing and artificial intelligence, she has successfully led transformative initiatives in regulated environments spanning consumer health, clinical care, and drug development.

Jessie created the one of the first enterprise verticals at Amazon Web Services, helping establish AWS as the leading public cloud partner for payors, providers, medical device, pharmaceutical, and digital health companies worldwide. She lead commercialization for DeepMind Health, Google's artificial intelligence arm, fostering AI adoption in healthcare markets globally, and drove consumer health partnerships for Google's billion user products such as Search, Maps, Android, Nest and Youtube. She was on the founding team of Walgreens Health, helping incubate and launch a new tech-enabled enterprise growth strategy for the 170 year old retail company. Jessie also served as the first-ever SVP & Chief Innovation Officer for Apollo Global Management portfolio company, Lifepoint Health, where she spearheaded digital transformation efforts for the diversified health system supporting patients in 31 states. She also oversaw early-stage investments, for Lifepoint, making impactful investments in Abridge, Midi Health, and BioIntelliSense.

Jessie has been recognized on both Becker's Healthcare's "Top Chief Transformation Officers" and "Top Chief Innovation Officers" lists, as well as one of the top three executive ""Women of Influence" by the Nashville Business Journal. She has spoken at the World Economic Forum, HLTH, ViVE, JPMorgan, and Morgan Stanley CEO Disruptor conferences on how technology can empower people within the healthcare system. 

She is a graduate of General Electric's Experienced Commercial Leadership Program and studied disruptive innovation under Professor Clay Christensen at Harvard Business School. She holds a juris doctor from the Dedman School of Law at Southern Methodist University and was an NCAA Division 1 soccer player."
Travis Messina,Travis,Messina,Regent Surgical,Member,"Travis Messina is the Chief Executive Officer of Regent Surgical, an ambulatory surgery center management company that develops, owns and manages ASC facilities in partnership with health systems and physicians.  Prior to Regent, Travis was the founder and CEO of Contessa, an industry-leading operator of comprehensive home care models including hospital at home, rehab at home and palliative care at home. Travis formed Contessa in 2015 and guided it to its successful sale to Amedisys in 2021.  He then served as the President of the Contessa division within Amedisys until 2023. Prior to Contessa, Travis was the Chief Investment Officer of Martin Ventures, a healthcare-focused venture fund. Before joining Martin Ventures, Travis served as Vice President of Development for Vanguard Health Systems, where he focused on leading the diligence efforts for acute care and ambulatory acquisitions. Travis was also a member of the Healthcare Investment Banking Group at Signal Hill Capital and worked in the Mergers & Acquisitions group at SunTrust Robinson Humphrey."
Shikha Anand,Shikha,Anand,ZephBreath,Member,"Shikha is currently the Chief Medical Officer and Co-Founder of Zeph Breath, a technology-enabled pulmonary rehabilitation and COPD management company.  She is also the Chief Medical Officer and Head of Clinical Research for Casana, a revolutionary company that passively measures vital signs through the form factor of a toilet seat.  She is a startup mentor at the Harvard Innovation Lab and Stanford's Master in Clinical Informatics Management, with a focus on underrepresented founders.  A practicing physician, Dr. Anand is board-certified in both Clinical Informatics and Pediatrics.  She has previously led health innovation, equity, quality, and informatics initiatives at Withings (Global Chief Medical Officer), Aetna/ CVS (Chief Medical Officer, Consumer Health Products), and Walmart (National Medical Director).  As an expert in diversity, equity, and inclusion, she brings a unique perspective on how data and technology can be used to empower and improve the health of diverse populations at scale."
Casey Leonetti,Casey,Leonetti,Bain Capital,Member,"Casey Leonetti joined Bain Capital in 2019. She is a Partner in the North America Private Equity Portfolio Group, focusing on investments in the Healthcare vertical.
 
Prior to joining Bain Capital, Casey was a Senior Vice President at CVS Health, where she led Innovation for the Pharmacy Benefits Manager and held several roles across operations, product development, and process automation. Before CVS Health, Casey was a Principal at The Boston Consulting Group, focused on the healthcare and consumer sectors.

Casey received a PhD in mathematics from Vanderbilt University and a BA from Rice University."
Katherine Hobbs,Katherine,Hobbs,Author Health,Member,"Dr. Katherine Hobbs is a psychiatrist and health care executive with a 20-year career dedicated to improving behavioral health access and quality."
Matt Strom,Matt,Strom,Morgan Stanley,Sponsor,Matt leads the West Coast Healthcare Investment Banking practice at Morgan Stanley and spends his time advising healthcare technology companies."
Neil Vibhakar,Neil,Vibhakar,Innovaccer,Member,"Neil joined Innovaccer in October 2024 to help drive strategy and growth initiatives across corp dev, business development and partnerships, aiming to scale and diversify Innovaccer's tech platform across healthcare markets. Prior to Innovaccer, Neil spent 14+ years at Morgan Stanley Investment Banking, most recently helping lead the Health Tech IB business. Neil earned his MBA from Kellogg in 2010 and a BA in Human Biology from Stanford in 2004. 

On the personal front, Neil lives in San Francisco, though even after 15 years across 2 stints in the Bay Area, he Chicago is still his hometown for sports. Neil is married (healthcare family, as his wife is a biotech investor) and is loving the first couple years of fatherhood as his son quickly approaches the age of two."
Will Abbott,Will,Abbott,BlueSprig Pediatrics,Member,"Will Abbott is the CEO of BlueSprig, one of the nation's leading providers of Applied Behavior Analysis (ABA) therapy for children. Will joined BlueSprig from InnovaCare, a leader in integrated and value-based health care services, where he served as Chief Executive Officer. 
Prior to his time at InnovaCare Will served as the COO of San Francisco-based Carbon Health spent more than a decade at CVS Health where he led the national operations team.
His passions and experience lies in leading scaled multi-site organizations with a focus on how best to support practitioners in the field."
Brooke Boyarsky Pratt,Brooke,Boyarsky Pratt,knownwell,Member,"Brooke Boyarsky Pratt is the founder and CEO of knownwell, the healthcare home for patients with overweight and obesity. Prior to knownwell, she was the Chief Operating Officer of Production at Berkadia, a joint venture of Berkshire Hathaway and Jefferies Financial Group, after leaving McKinsey & Company as an Associate Partner. Brooke graduated Summa Cum Laude from the University of Pennsylvania and as a Baker Scholar from Harvard Business School."
Bryony Winn,Bryony,Winn,Carelon Health,Member,"As President of Carelon Health, Bryony is responsible for the performance of a portfolio of market-leading, integrated services and capabilities spanning advanced primary care, behavioral health, medical benefits management, palliative care, specialty care management, and more. Working together, Carelon Health's family of businesses enable care providers, health plans, employers, and people to focus on what matters most – whole health. Previously, Bryony held senior leadership positions at Elevance Health as President of Health Solutions and Chief Strategy Officer. 

Before joining Elevance Health in 2020, Bryony was Senior Vice President, Chief Strategy and Innovation Officer for Blue Cross and Blue Shield of North Carolina. Prior to that, she spent a decade with McKinsey & Company, providing strategic and operational counsel to healthcare clients across Europe, Africa, and North America. 

A native of Zimbabwe and Rhodes Scholar at Oxford, Bryony serves on multiple boards for companies committed to ensuring access to high-quality, equitable, affordable care; she a member of Fast Company's Impact Council, and was appointed to the Executive Forum of CMS' Health Care Payment Learning and Action Network. In 2024 Modern Healthcare recognized her as one of the industry's Top Woman Leaders, and she was named by Pearl Health as one of the Top 50 Value-Based Care Thinkers. 

Bryony is a wife in a dual-career household and mom to three young children. She resides in Carmel, Indiana with her family."
